analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
CA9,,,,False,0.03127460571945405,,,44,0,True
CABP2,,,,False,-0.056664233725730595,,,44,0,True
CACNA1C,,,,False,-0.04812278344337815,,,44,0,True
CACNA1H,,,,False,-0.03397282230725745,,,44,0,True
CACNB1,,,,False,0.0585586359866848,,,44,0,True
CACNB3,,,,False,-0.4484214999932217,,,44,0,True
CACYBP,,,,False,-0.28639121616668833,,,44,0,True
CADPS,,,,False,0.11111405449542386,,,44,0,True
CALB1,,,,False,0.012679903760403701,,,44,0,True
CALB2,,,,False,-0.1565017923597787,,,44,0,True
CALCA,,,,False,-0.2525246559005006,,,44,0,True
CALCB,,,,False,-0.0172118622200364,,,44,0,True
CALCOCO1,,,,False,-0.45536239956132224,,,44,0,True
CALCOCO2,,,,False,-0.3216713823151383,,,44,0,True
CAMKK1,,,,False,-0.20577449834163128,,,44,0,True
CAMLG,,,,False,-0.3356998808963768,,,44,0,True
CAMSAP1,,,,False,-0.372513068384535,,,44,0,True
CANT1,,,,False,-0.09705704504720995,,,44,0,True
CAPG,,,,False,-0.0969385405403774,,,44,0,True
CAPN3,,,,False,-0.00166459181426545,,,44,0,True
CAPS,,,,False,-0.43655508552572414,,,44,0,True
CARHSP1,,,,False,-0.2112082833435313,,,44,0,True
CASC3,,,,False,-0.3120081484891236,,,44,0,True
CASP1,,,,False,-0.3593249352949429,,,44,0,True
CASP10,,,,False,-0.2586795782354008,,,44,0,True
CASP2,,,,False,-0.16163137444586007,,,44,0,True
CASP3,,,,False,-0.4361385568889502,,,44,0,True
CASP4,,,,False,-0.31410267614052,,,44,0,True
CASP7,,,,False,-0.3471819765352845,,,44,0,True
CASP8,,,,False,-0.31471778102006226,,,44,0,True
CASQ2,,,,False,-0.12083332029066324,,,44,0,True
CAT,,,,False,-0.1848924799756637,,,44,0,True
CBLIF,,,,False,0.0030564748151812506,,,44,0,True
CBLN1,,,,False,-0.14953361903080825,,,44,0,True
CBLN4,,,,False,0.0797304083143594,,,44,0,True
CBS,,,,False,-0.1705410721153584,,,44,0,True
CC2D1A,,,,False,-0.45565688160564777,,,44,0,True
CCAR2,,,,False,-0.07423249882747546,,,44,0,True
CCDC134,,,,False,-0.2662005686660325,,,44,0,True
CCDC28A,,,,False,0.007149219943495849,,,44,0,True
CCDC50,,,,False,-0.11439637042618656,,,44,0,True
CCDC80,,,,False,0.0619032012557155,,,44,0,True
CCER2,,,,False,0.1055473477025931,,,44,0,True
CCL11,,,,False,0.1451451272236213,,,44,0,True
CCL13,,,,False,-0.00794172815679745,,,44,0,True
CCL14,,,,False,-0.1464500919328588,,,44,0,True
CCL15,,,,False,-0.13960515991888361,,,44,0,True
CCL16,,,,False,-0.27666870228889245,,,44,0,True
CCL17,,,,False,-0.06624030705754005,,,44,0,True
CCL18,,,,False,-0.0308529224423485,,,44,0,True
CCL19,,,,False,-0.2555259087878693,,,44,0,True
CCL2,,,,False,-0.2686841051679409,,,44,0,True
CCL20,,,,False,-0.2676809803071918,,,44,0,True
CCL21,,,,False,0.027365501047590703,,,44,0,True
CCL22,,,,False,0.10322669140507296,,,44,0,True
CCL23,,,,False,-0.0175746925756499,,,44,0,True
CCL24,,,,False,-0.07668596633357,,,44,0,True
CCL25,,,,False,-0.03957239497344,,,44,0,True
CCL26,,,,False,-0.0950052282949708,,,44,0,True
CCL27,,,,False,-0.1018816107992377,,,44,0,True
CCL28,,,,False,-0.36601848121792085,,,44,0,True
CCL3,,,,False,-0.19142514799999175,,,44,0,True
CCL4,,,,False,-0.2109761065703385,,,44,0,True
CCL5,,,,False,0.1415753416998492,,,44,0,True
CCL7,,,,False,-0.15689729758114035,,,44,0,True
CCL8,,,,False,0.0712967043184391,,,44,0,True
CCN1,,,,False,-0.08829940813344545,,,44,0,True
CCN2,,,,False,-0.00931531838986105,,,44,0,True
CCN3,,,,False,-0.21443738295314155,,,44,0,True
CCN4,,,,False,-0.14881814728723192,,,44,0,True
CCN5,,,,False,0.016338480122059653,,,44,0,True
CCND2,,,,False,-0.40396363247284606,,,44,0,True
CCNE1,,,,False,0.050689691254835446,,,44,0,True
CCS,,,,False,-0.3808312929353162,,,44,0,True
CCT5,,,,False,-0.11983557129569194,,,44,0,True
CD101,,,,False,-0.0394467188474966,,,44,0,True
CD109,,,,False,-0.0922983256184833,,,44,0,True
CD14,,,,False,-0.2454831399212227,,,44,0,True
CD160,,,,False,-0.0161639993555409,,,44,0,True
CD164,,,,False,-0.2165183776421742,,,44,0,True
CD164L2,,,,False,0.07334317649640315,,,44,0,True
CD177,,,,False,0.022557563062398048,,,44,0,True
CD1C,,,,False,0.00860740007055465,,,44,0,True
CD2,,,,False,0.1239518300956044,,,44,0,True
CD200,,,,False,-0.369415010389639,,,44,0,True
CD200R1,,,,False,0.057513165428829796,,,44,0,True
CD207,,,,False,0.07384883979662335,,,44,0,True
CD209,,,,False,-0.02653285572092825,,,44,0,True
CD22,,,,False,0.1202170013329925,,,44,0,True
CD226,,,,False,-0.0464191150164723,,,44,0,True
CD244,,,,False,0.0039318375578896,,,44,0,True
CD248,,,,False,0.006326798181444,,,44,0,True
CD27,,,,False,-0.05834970405142255,,,44,0,True
CD274,,,,False,-0.36052727412444485,,,44,0,True
CD276,,,,False,-0.045674219598673294,,,44,0,True
CD28,,,,False,-0.035095929083334046,,,44,0,True
CD2AP,,,,False,-0.36259547411089443,,,44,0,True
CD300A,,,,False,-0.0006599447963446,,,44,0,True
CD300C,,,,False,0.005804282750622399,,,44,0,True
CD300E,,,,False,-0.28627832560125777,,,44,0,True
CD300LF,,,,False,-0.0425188457624822,,,44,0,True
CD300LG,,,,False,-0.1346067607250442,,,44,0,True
CD302,,,,False,-0.11308595493810025,,,44,0,True
CD33,,,,False,-0.0274660947521827,,,44,0,True
CD34,,,,False,0.13193634059204734,,,44,0,True
CD36,,,,False,-0.1618208783469407,,,44,0,True
CD38,,,,False,-0.17104335989225888,,,44,0,True
CD3D,,,,False,-0.01415493026368565,,,44,0,True
CD3E,,,,False,0.046629738606438056,,,44,0,True
CD3G,,,,False,-0.0712844411271849,,,44,0,True
CD4,,,,False,-0.05731691022763565,,,44,0,True
CD40,,,,False,-0.2121323922012645,,,44,0,True
CD46,,,,False,-0.28441708726348736,,,44,0,True
CD48,,,,False,0.012614190464707999,,,44,0,True
CD5,,,,False,0.18318546386663426,,,44,0,True
CD55,,,,False,-0.1929692560596262,,,44,0,True
CD58,,,,False,-0.0041391138796186494,,,44,0,True
CD59,,,,False,-0.14707384533972329,,,44,0,True
CD5L,,,,False,-0.06991957726256501,,,44,0,True
CD6,,,,False,-0.05777097203201449,,,44,0,True
CD63,,,,False,-0.2754340660139387,,,44,0,True
CD69,,,,False,-0.4212965442872141,,,44,0,True
CD7,,,,False,-0.0677135416246756,,,44,0,True
CD70,,,,False,-0.045401572518076395,,,44,0,True
CD72,,,,False,-0.09656049199862346,,,44,0,True
CD74,,,,False,-0.1854183837664145,,,44,0,True
CD79B,,,,False,-0.01569530854822835,,,44,0,True
CD80,,,,False,-0.0295437073406139,,,44,0,True
CD82,,,,False,-0.2261240708075417,,,44,0,True
CD83,,,,False,-0.0466866800590433,,,44,0,True
CD84,,,,False,-0.042413266691505705,,,44,0,True
CD86,,,,False,0.036434944017499055,,,44,0,True
CD8A,,,,False,0.24342832220152139,,,44,0,True
CD93,,,,False,0.020017748039571497,,,44,0,True
CD99,,,,False,-0.03836475869210945,,,44,0,True
CD99L2,,,,False,-0.1053582157850821,,,44,0,True
CDA,,,,False,-0.08607196166378406,,,44,0,True
CDAN1,,,,False,-0.10227515753761504,,,44,0,True
CDC123,,,,False,-0.13986397440202109,,,44,0,True
CDC26,,,,False,-0.18129490040401655,,,44,0,True
CDC27,,,,False,-0.28739736253213244,,,44,0,True
CDC37,,,,False,-0.2219433802785343,,,44,0,True
CDC42BPB,,,,False,-0.4701239790881726,,,44,0,True
CDCP1,,,,False,-0.24421272792837284,,,44,0,True
CDH1,,,,False,-0.07105254468103869,,,44,0,True
CDH15,,,,False,0.0068632881861785,,,44,0,True
CDH17,,,,False,0.14357530062403812,,,44,0,True
CDH2,,,,False,-0.07939382233731165,,,44,0,True
CDH22,,,,False,0.06562278454607155,,,44,0,True
CDH3,,,,False,0.0333347687066933,,,44,0,True
CDH4,,,,False,-0.38579387859754377,,,44,0,True
CDH5,,,,False,-0.0179780075139085,,,44,0,True
CDH6,,,,False,-0.0327798122403832,,,44,0,True
CDHR2,,,,False,0.05408986600023885,,,44,0,True
CDHR5,,,,False,-0.0207510619227833,,,44,0,True
CDK1,,,,False,-0.23142767173305762,,,44,0,True
CDK5RAP3,,,,False,-0.3222846230323717,,,44,0,True
CDKL5,,,,False,-0.00885667840074925,,,44,0,True
CDKN1A,,,,False,-0.2952640566076483,,,44,0,True
CDKN2D,,,,False,-0.5688754814253221,,,44,0,True
CDNF,,,,False,-0.0479065206389348,,,44,0,True
CDON,,,,False,-0.06056398291680455,,,44,0,True
CDSN,,,,False,-0.07824321741166859,,,44,0,True
CEACAM1,,,,False,0.037889190507556444,,,44,0,True
CEACAM16,,,,False,-0.1646812352117095,,,44,0,True
CEACAM18,,,,False,-0.11407427807620735,,,44,0,True
CEACAM20,,,,False,0.007338373676277,,,44,0,True
