| independent_var                                                                     | dependent_var                                               |          rho |    p_value |   sample_size_N |      FDR |
| Early Second Trimester_activities_-_summary_-_fairlyactiveminutes                   | gest_age_del                                                |  0.184002    | 0.106825   |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.167871    | 0.141803   |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.145964    | 0.202258   |              78 | 0.966043 |
|                                                                                     | placental_infarction                                        |  0.134141    | 0.241648   |              78 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.13161     | 0.250726   |              78 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.161386    | 0.158072   |              78 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.122495    | 0.285335   |              78 | 0.974715 |
|                                                                                     | apgar_5                                                     |  0.111457    | 0.331297   |              78 | 0.978627 |
|                                                                                     | increased_syncytial_knots                                   |  0.109099    | 0.341696   |              78 | 0.978627 |
|                                                                                     | delayed_villous_maturation                                  | -0.118449    | 0.301668   |              78 | 0.978627 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0936728   | 0.414652   |              78 | 0.978773 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0792616   | 0.490317   |              78 | 0.996513 |
|                                                                                     | nicu_days                                                   | -0.0361046   | 0.753657   |              78 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0253606   | 0.825561   |              78 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.0664082   | 0.563487   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0036028   | 0.975026   |              78 | 0.999998 |
| Early Second Trimester_activities_-_summary_-_lightlyactiveminutes                  | gest_age_del                                                |  0.194934    | 0.0872176  |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.163168    | 0.153471   |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.187635    | 0.0999609  |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.273149    | 0.0155357  |              78 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.162787    | 0.154445   |              78 | 0.966043 |
|                                                                                     | delayed_villous_maturation                                  |  0.108077    | 0.346263   |              78 | 0.978627 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.104474    | 0.362672   |              78 | 0.978627 |
|                                                                                     | nicu_days                                                   |  0.0393347   | 0.732413   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0278387   | 0.808825   |              78 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.0120213   | 0.916805   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0528231   | 0.646012   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.0360255   | 0.754179   |              78 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.0632698   | 0.582104   |              78 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0488567   | 0.670998   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0468331   | 0.683887   |              78 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0360255   | 0.754179   |              78 | 0.999923 |
| Early Second Trimester_activities_-_summary_-_marginalcalories                      | gest_age_del                                                |  0.216354    | 0.0571011  |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.217081    | 0.0562513  |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.154914    | 0.175652   |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.199867    | 0.0793573  |              78 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.0987009   | 0.389938   |              78 | 0.978627 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.108077    | 0.346263   |              78 | 0.978627 |
|                                                                                     | nicu_days                                                   | -0.0720229   | 0.530899   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0582082   | 0.612709   |              78 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0531718   | 0.643833   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0413398   | 0.719324   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0216153   | 0.851001   |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  | -0.0310906   | 0.786993   |              78 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0252178   | 0.826528   |              78 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0432306   | 0.707055   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0108076   | 0.925179   |              78 | 0.999998 |
|                                                                                     | accelerated_villous_maturation                              |  0.000572445 | 0.996031   |              78 | 1        |
| Early Second Trimester_activities_-_summary_-_sedentaryminutes                      | gest_age_del                                                | -0.164145    | 0.150989   |              78 | 0.966043 |
|                                                                                     | birthweight                                                 | -0.206065    | 0.0702933  |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     | -0.189482    | 0.0966064  |              78 | 0.966043 |
|                                                                                     | placental_infarction                                        |  0.164501    | 0.150092   |              78 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.231502    | 0.0414148  |              78 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.180127    | 0.114544   |              78 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.139194    | 0.224212   |              78 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.128804    | 0.26106    |              78 | 0.966043 |
|                                                                                     | chorangiosis                                                | -0.15491     | 0.175664   |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     | -0.117466    | 0.305724   |              78 | 0.978627 |
|                                                                                     | nicu_days                                                   | -0.053272    | 0.643208   |              78 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.0246151   | 0.830611   |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0192466   | 0.867171   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.039628    | 0.730493   |              78 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.072051    | 0.530739   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   | -0.00574164  | 0.96021    |              78 | 0.999998 |
| Early Second Trimester_activities_-_summary_-_steps                                 | gest_age_del                                                |  0.23209     | 0.0408865  |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.187791    | 0.0996752  |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.207919    | 0.0677507  |              78 | 0.966043 |
