Fitbit_Metric,Outcome,N,Model_Family,Link_Function,Extreme_Outliers,Converged,Pseudo_R_Squared,coef_Intercept,coef_C(race)[T.white],coef_C(infant_sex)[T.m],coef_C(smoking)[T.quit],coef_C(smoking)[T.yes],coef_X_Metric,coef_prepregnancy_bmi_self_or_record,coef_parity,p_Intercept,p_C(race)[T.white],p_C(infant_sex)[T.m],p_C(smoking)[T.quit],p_C(smoking)[T.yes],p_X_Metric,p_prepregnancy_bmi_self_or_record,p_parity,coef_maternal_age,p_maternal_age
activities_summary_fairlyactiveminutes,apgar_1,7028,Gamma,Log,True,True,0.22172815286046554,2.0966732819958445,0.48216978366663404,-0.21721027525449726,0.08222785592445253,0.15898043068097759,7.917194953769128e-05,-0.011190776827785772,-0.014311846958565633,0.0,4.3344583976385465e-146,5.664471968176415e-116,1.718405993472923e-15,5.002556820843928e-56,0.43571368409986055,1.0364187113513301e-123,1.587780595631196e-12,-0.000463778025690348,0.3407090229241333
activities_summary_fairlyactiveminutes,apgar_5,7028,Gamma,Log,False,True,0.1186012305630294,2.18512152112785,0.11365268151796828,-0.06989151836845892,0.0080324823781525,0.06509611041238356,0.0001618735447672307,-0.0038667196751530136,-0.010184483025703971,0.0,3.4427869306323934e-147,1.4781547047351828e-80,0.06795136957865475,4.998039818078913e-27,0.019861379746984004,1.317895856775846e-65,3.242455733382186e-14,0.0006587517679729536,0.007933358195547732
activities_summary_fairlyactiveminutes,nicu_days,7028,Gamma,Log,True,True,0.1506921878668962,0.42709240038184204,0.1606434803291994,-0.2564009862439552,-0.044647789627858016,-0.10664409211105601,-0.001065769443618436,-0.006446321941727547,-0.007095808822249651,4.0564166696724574e-17,2.415827644496948e-18,1.8587792211445726e-18,1.2730543804626628e-15,7.568242439738428e-18,6.696671895585067e-11,1.6195135533340066e-13,1.6596420623185552e-06,-0.0004887688795678717,0.25964112181476073
activities_summary_lightlyactiveminutes,maternal_age,7028,Gamma,Log,False,True,0.09838391653925915,3.537073268786796,-0.036045469926248484,0.11176522552733206,0.0212301962742741,0.046599623412992466,-9.969649208954712e-05,-0.0032972253511163487,-0.02178592463310868,0.0,3.98348317145798e-09,9.346334771272215e-113,0.0005455628687291444,3.401184657876403e-08,1.570134018946812e-06,4.435046737250694e-26,8.058463650731287e-32,,
activities_summary_lightlyactiveminutes,weight_(kg),7028,Gamma,Log,True,True,0.8226256863632994,3.7893252489084315,0.05500247264474942,0.020180746509412175,0.043903382038739426,-0.050220591571108635,4.078200390113966e-05,0.021974308033450844,0.01191285276726103,0.0,3.651192836543045e-83,7.671338387153613e-19,3.5781523337683925e-33,5.3224577414739864e-20,0.0001072764521423269,0.0,2.8802198562219773e-35,-0.0007576683432858601,3.829037699325847e-11
activities_summary_lightlyactiveminutes,prepregnancy_weight_self_or_record,6935,Gamma,Log,True,True,0.90859425588598,3.528443271646058,0.03453887621467883,0.036175968783533075,0.029356768955948635,-0.01317372642795253,2.3230117005606052e-07,0.028284840269994393,-0.006129752095784002,0.0,4.746207835573271e-74,2.2088592673113913e-81,4.509558001734264e-34,0.0003856665093254127,0.977430177854264,0.0,5.7916440232102e-14,-0.0019919817500621603,3.6097275545029514e-70
activities_summary_lightlyactiveminutes,prepregnancy_bmi_self_or_record,7028,Gamma,Log,True,True,0.1861303559541625,3.400397381115004,0.1748916194409814,-0.09093703974296563,0.14565405259425424,0.0356202250700951,7.434828995340445e-05,,0.007495034613749738,0.0,3.12891142407552e-143,6.758138779856195e-39,5.629482187162539e-119,0.06601317587479653,0.0004050844850088624,,0.0011207601824827645,-0.004659846068347435,2.0820497958107e-37
activities_summary_lightlyactiveminutes,gravida,7028,Gamma,Log,False,True,0.17857842024869042,-0.4286828448338599,0.24515929078797916,-0.08440416828274813,0.15811282537542531,0.3984786372874046,0.00033641732968536174,0.007841581432036806,0.012647168087195546,9.144409628444831e-27,1.1926170672857698e-60,1.495741968908804e-11,3.472700831324999e-26,1.2263289882476095e-83,2.8647943125164868e-11,1.0625868451331564e-24,0.005613464985348248,0.02173154295946961,7.366463009450927e-146
activities_summary_lightlyactiveminutes,parity,7028,Gamma,Log,False,True,0.08646228519082333,0.7127529137110911,-0.08487147684313702,0.18464226260953454,0.25669902880238926,0.2830249143812516,-0.0006327294052069516,0.009094635669837545,,1.0925667828456893e-33,0.00017238231636501532,8.284530785075858e-23,2.4381031884226606e-30,5.25954564054059e-20,1.0312117467514796e-16,3.729470724152008e-15,,-0.018111773844284827,1.3327766619034886e-46
activities_summary_lightlyactiveminutes,gest_age_del,7028,Gamma,Log,False,True,0.14980978012072688,3.7039006546632103,0.029058870981256875,0.020329743418036887,0.011416197559166117,0.033870331685340045,-5.083145540494229e-06,-0.0016714207695981676,-0.008612450521023617,0.0,1.9070529384322664e-65,3.819855603025424e-46,2.000026681177369e-11,2.4988952042931263e-47,0.377756463099428,4.626898364112892e-82,1.6673301722302292e-61,-0.001415934690330544,6.244979801793555e-49
activities_summary_lightlyactiveminutes,birthweight,7028,Gamma,Log,False,True,0.18182527968051954,7.773958633579742,0.16089214775743726,0.09439232702464967,-0.12200921510228459,0.03123398682790692,-4.078869904887177e-05,0.005726390233582269,-0.023913437452763527,0.0,1.2374409798213192e-120,4.530625686001737e-60,4.65807018824156e-70,0.0010024587407459914,0.08057223301819864,3.081171089262079e-59,8.003028277317111e-30,-0.002673468597493687,7.212863149840008e-12
activities_summary_lightlyactiveminutes,apgar_1,7028,Gamma,Log,True,True,0.22269115099874237,2.071119589799632,0.483462664876752,-0.215711402487677,0.08293289551253342,0.1610885238648433,0.00011041850655243365,-0.011241788697423812,-0.013495331995370499,0.0,2.0114262983689486e-146,3.899304291849192e-115,6.121227322384911e-16,2.2455458140917633e-57,0.0002094010764410052,3.812301377607022e-130,5.2827882326964656e-11,-0.0003801928736956207,0.4376127841927918
activities_summary_lightlyactiveminutes,apgar_5,7028,Gamma,Log,False,True,0.12579446714214637,2.154801013764106,0.1154873017242283,-0.06822153057536498,0.009494206810938448,0.06760575715930622,0.0001268539621676505,-0.003883825667895621,-0.009372127100990241,0.0,1.7282543684777337e-152,1.0011634405023053e-76,0.030738313076399744,5.51257164644063e-29,1.5010982103081497e-17,7.587498485505774e-67,3.0440728915371645e-12,0.0007650884326650298,0.0020878487136982158
activities_summary_lightlyactiveminutes,nicu_days,7028,Gamma,Log,True,True,0.1557010793906376,0.337732197092064,0.15608969600446207,-0.2504670097129664,-0.04741168609645294,-0.09714323752697882,0.0003298492579896599,-0.006793728448009038,-0.0024652801595114945,1.5416542521449898e-13,9.37349484096357e-19,8.895468133607283e-19,7.456882157553926e-16,4.328330458091569e-17,0.00017667141301052947,2.8712836260574236e-14,0.10121394759351592,-1.5353310292171468e-06,0.9971367208648009
activities_summary_sedentaryminutes,maternal_age,7028,Gamma,Log,False,True,0.09636119694613199,3.528573419397566,-0.03617343864193715,0.11272173725094874,0.02214024722084063,0.04954483247447225,-1.5483893537048142e-05,-0.0033240671799029268,-0.020898549715124243,0.0,3.6942205754950426e-09,2.3419180662207903e-115,0.0003109906359002745,4.5840472758353594e-09,0.0846349942141366,2.1567877790611716e-26,1.3338595618354843e-29,,
activities_summary_sedentaryminutes,weight_(kg),7028,Gamma,Log,True,True,0.822913087718611,3.7818226066279608,0.05572800283432735,0.019452745394505658,0.0426638707581995,-0.05271813952601493,2.2629917906139755e-05,0.02193068357349786,0.011442237947792417,0.0,8.09718442060335e-84,1.3988497250534534e-17,1.6000025406159605e-32,2.1841495050076976e-21,4.3159545640273755e-07,0.0,2.2453062338875922e-32,-0.0007731717434216124,1.8659872185537287e-11
activities_summary_sedentaryminutes,prepregnancy_weight_self_or_record,6935,Gamma,Log,True,True,0.9089617625780032,3.513588205227757,0.035416872586071846,0.03598430946645746,0.02869258880200062,-0.014591292085634375,1.897732453577058e-05,0.02823955430772113,-0.006268706011038056,0.0,1.5748476060726254e-78,1.2137490622515284e-82,3.180842411501485e-33,9.874993055068921e-05,1.0124003599367217e-07,0.0,2.10903833107571e-14,-0.001968309750759101,3.616756050502838e-68
