,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
p388_POS,p388_POS,plasma,MTBL,E,23.461224281362743,0.11553490678344858
n1179_NEG,n1179_NEG,plasma,MTBL,E,21.419259630637583,0.08685990671800425
n530_NEG,n530_NEG,plasma,MTBL,E,21.817820456944176,0.0659866651078147
p841_POS,p841_POS,plasma,MTBL,E,19.214303194096583,0.21336035460322478
n519_NEG,n519_NEG,plasma,MTBL,E,22.88002556837605,0.0816914304367451
p3536_POS,p3536_POS,plasma,MTBL,E,18.81388976243361,0.17393271710978553
n2003_NEG,n2003_NEG,plasma,MTBL,E,16.594590782478477,0.1281269768446336
"1-(4-methylphenyl)-3,5-diphenylpent-2-ene-1,5-dione_POS","1-(4-methylphenyl)-3,5-diphenylpent-2-ene-1,5-dione_POS",plasma,MTBL,E,12.736547016592327,0.09063769491556783
"(4E)-3-Hydroxy-2,4-dimethyl-4-heptenamide_POS","(4E)-3-Hydroxy-2,4-dimethyl-4-heptenamide_POS",plasma,MTBL,E,14.298400698895986,0.055795124489279146
n1782_NEG,n1782_NEG,plasma,MTBL,E,19.227937440154008,0.19901412194558432
p4486_POS,p4486_POS,plasma,MTBL,E,16.610809010635943,0.4108003642645528
3-Hydroxymepivacaine_POS,3-Hydroxymepivacaine_POS,plasma,MTBL,E,15.118514645259983,0.043320871011164996
p5350_POS,p5350_POS,plasma,MTBL,E,12.928994744736766,0.12305052787779225
n3547_NEG,n3547_NEG,plasma,MTBL,E,12.19060398357717,0.13917986880962907
Nematophin_POS,Nematophin_POS,plasma,MTBL,E,13.067351493055687,0.29107172308637175
p5600_POS,p5600_POS,plasma,MTBL,E,10.78263634719634,0.02832483322460888
NP-020240_POS,NP-020240_POS,plasma,MTBL,E,12.67843525833123,0.01869737134642513
p4633_POS,p4633_POS,plasma,MTBL,E,15.267912666943214,0.14696568643819496
n2882_NEG,n2882_NEG,plasma,MTBL,E,12.933838334405896,0.0925821499910402
Normethadone_POS,Normethadone_POS,plasma,MTBL,E,11.997822810148246,0.20941251867479416
p295_POS,p295_POS,plasma,MTBL,E,24.474782425663307,0.09692499704547686
p1289_POS,p1289_POS,plasma,MTBL,E,22.12190692082453,0.11682085408534348
p1658_POS,p1658_POS,plasma,MTBL,E,21.713759054823143,0.1565789210706825
p3295_POS,p3295_POS,plasma,MTBL,E,20.08967844838427,0.11092846616199026
n1637_NEG,n1637_NEG,plasma,MTBL,E,19.996253820165,0.1269991286327148
n17_NEG,n17_NEG,plasma,MTBL,E,27.894132066827765,0.05481298140492541
p2792_POS,p2792_POS,plasma,MTBL,E,15.28963702189747,0.37100587056520595
