| independent_var                                                                     | dependent_var                           |         rho |     p_value |   sample_size_N |      FDR |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.134161   | 0.442272    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          |  0.0673781  | 0.700552    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.161032   | 0.355417    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.263388   | 0.126321    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.231732   | 0.180417    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.256125   | 0.137511    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.02235    | 0.898594    |              35 | 0.994534 |
|                                                                                     | apgar_5                                 | -0.0205936  | 0.906527    |              35 | 0.994534 |
|                                                                                     | placental_infarction                    |  0          | 1           |              35 | 1        |
| Early Second Trimester_activities_summary_steps                                     | gest_age_del                            |  0.226521   | 0.190693    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.180277   | 0.300052    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.048489   | 0.78208     |              35 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.115011   | 0.510608    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0679236  | 0.698241    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.182818   | 0.293177    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.111242   | 0.524648    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.280321   | 0.102877    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.01788    | 0.9188      |              35 | 0.994534 |
|                                                                                     | delayed_villous_maturation              |  0.0169809  | 0.92287     |              35 | 0.994534 |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.0121879  | 0.944601    |              35 | 0.994534 |
| Early Second Trimester_activities_summary_totaldistances                            | gest_age_del                            |  0.256939   | 0.136222    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.252136   | 0.143957    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.13559    | 0.43738     |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.121879   | 0.485512    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.20492    | 0.237651    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.11324    | 0.517183    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.0609394  | 0.728026    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.292509   | 0.0881607   |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0169809  | 0.92287     |              35 | 0.994534 |
|                                                                                     | apgar_1                                 |  0.00146936 | 0.993316    |              35 | 1        |
|                                                                                     | nicu_days                               |  0          | 1           |              35 | 1        |
| Early Second Trimester_activities_summary_veryactiveminutes                         | gest_age_del                            |  0.112077   | 0.521521    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.106252   | 0.543527    |              35 | 0.99086  |
|                                                                                     | nicu_days                               | -0.203914   | 0.240014    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.134161   | 0.442272    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          |  0.0673781  | 0.700552    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.161032   | 0.355417    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.263388   | 0.126321    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.231732   | 0.180417    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.256125   | 0.137511    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.02235    | 0.898594    |              35 | 0.994534 |
|                                                                                     | apgar_5                                 | -0.0205936  | 0.906527    |              35 | 0.994534 |
|                                                                                     | placental_infarction                    |  0          | 1           |              35 | 1        |
| Early Second Trimester_heart_rate_-_resting_heart_rate                              | gest_age_del                            |  0.117063   | 0.569007    |              26 | 0.99086  |
|                                                                                     | birthweight                             | -0.0864957  | 0.674382    |              26 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.144955   | 0.479863    |              26 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.397654   | 0.0442458   |              26 | 0.99086  |
|                                                                                     | nicu_days                               | -0.333333   | 0.0960999   |              26 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.333333   | 0.0960999   |              26 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse | -0.253333   | 0.21177     |              26 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.436564   | 0.0257608   |              26 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.436564   | 0.0257608   |              26 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.250185   | 0.217696    |              26 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.134715   | 0.511739    |              26 | 0.99086  |
| Early Second Trimester_heart_rate_-_zone:_cardio_-_caloriesout                      | gest_age_del                            | -0.033313   | 0.86898     |              27 | 0.99086  |
|                                                                                     | birthweight                             | -0.221951   | 0.265851    |              27 | 0.99086  |
|                                                                                     | apgar_1                                 |  0.0931843  | 0.643869    |              27 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.0870588  | 0.665897    |              27 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.277011   | 0.161863    |              27 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.327377   | 0.0955338   |              27 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          |  0.297616   | 0.131636    |              27 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.297616   | 0.131636    |              27 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.399511   | 0.0389647   |              27 | 0.99086  |
|                                                                                     | chorangiosis                            | -0.0726384  | 0.718805    |              27 | 0.99086  |
|                                                                                     | nicu_days                               | -0.0251828  | 0.900776    |              27 | 0.994534 |
| Early Second Trimester_heart_rate_-_zone:_cardio_-_max                              | gest_age_del                            | -0.0563876  | 0.779971    |              27 | 0.99086  |
|                                                                                     | birthweight                             | -0.172187   | 0.390442    |              27 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.0610573  | 0.762246    |              27 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.204553   | 0.306087    |              27 | 0.99086  |
|                                                                                     | nicu_days                               |  0.125914   | 0.53144     |              27 | 0.99086  |
|                                                                                     | placental_infarction                    | -0.251828   | 0.205098    |              27 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.151097   | 0.451866    |              27 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.216906   | 0.277148    |              27 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.216906   | 0.277148    |              27 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.127117   | 0.527494    |              27 | 0.99086  |
|                                                                                     | chorangiosis                            | -0.217915   | 0.274864    |              27 | 0.99086  |
| Early Second Trimester_heart_rate_-_zone:_cardio_-_min                              | gest_age_del                            |  0.0485867  | 0.809819    |              27 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.0785533  | 0.696934    |              27 | 0.99086  |
